DSMF-Bordeaux,FRANCE,ETRANGER,1
DSMF-Nice,FRANCE,ETRANGER,3
DSMF-Nantes,FRANCE,ETRANGER,4
DSMF-Le Havre,FRANCE,ETRANGER,4
DSMF-Lorient,FRANCE,ETRANGER,4
DSMF-Vannes,FRANCE,ETRANGER,4
DSMF-Rennes,FRANCE,ETRANGER,4
DSMF-Brest,FRANCE,ETRANGER,4
DSMF-Rouen,FRANCE,ETRANGER,5
DSMF-Toulouse,FRANCE,ETRANGER,5
DSMF-Pau,FRANCE,ETRANGER,5
DSMF-Reims,FRANCE,ETRANGER,5
DSMF-Poitiers,FRANCE,ETRANGER,5
DSMF-Nancy,FRANCE,ETRANGER,5
DSMF-Marseille,FRANCE,ETRANGER,5
DSMF-Lyon,FRANCE,ETRANGER,6
DSMF-Montpellier,FRANCE,ETRANGER,6
DSMF-Orange,FRANCE,ETRANGER,6
DSMF-Poitiers la grace,FRANCE,ETRANGER,6
DSMF-Limoges,FRANCE,ETRANGER,6
DSMF-Itallie,ITALIE,ETRANGER,7
DSMF-Espagne,ESPAGNE,ETRANGER,8
DSMF-Suisse,SUISSE,ETRANGER,9
DSMF-Belgique,Belgique,ETRANGER,9
DSMF-Angleterre,ANGLETERRE,ETRANGER,9
DSMF-Russie,RUSSIE,ETRANGER,9
DSMF-Turquie,TURQUIE,ETRANGER,9
DSMF-Hollande,HOLLANDE,ETRANGER,9
DSMF-Suede,SUEDE,ETRANGER,9
DSMF-Ottawa,CANADA,ETRANGER,10
DSMF-Montreal,CANADA,ETRANGER,10
DSMF-USA,USA,ETRANGER,11
DSMF-Cote d'ivoire,COTE D'IVOIRE,ETRANGER,12
DSMF-Mali,MALI,ETRANGER,12
DSMF-Guinee,GUINEE,ETRANGER,12
DSMF-Maroc,MAROC,ETRANGER,12
DSMF-Mauritanie,MAURITANIE,ETRANGER,12
DSMF-Burkina Faso,BURKINA FASO,ETRANGER,12
DSMF-Gabon,GABON,ETRANGER,12
DSMF-arabie saudite,ARABIE SAOUDITE,ETRANGER,13
DSMF-Bresil,BRESIL,ETRANGER,14
DSMF-Argentine,ARGENTINE,ETRANGER,14
DSMF-TABOKOTO,GAMBIE,ETRANGER,15
DSMF-Bakoteh,GAMBIE,ETRANGER,15
DSMF-Sanchaba,GAMBIE,ETRANGER,15
DSMF-SUKUTA,GAMBIE,ETRANGER,15
DSMF-Bijilo,GAMBIE,ETRANGER,15
DSMF-LAITYKUNDA GAM,GAMBIE,ETRANGER,15
DSMF-Kennal Serigne Bethio,FRANCE,ETRANGER,2
DSMF-Serigne Bethio Moy Deug ,FRANCE,ETRANGER,2
DSMF-Sope Serigne Bethio,FRANCE,ETRANGER,2
DSMF-Champs Elysees,FRANCE,ETRANGER,2
DSMF-Serigne Bethio Moy Deug Creteil ,FRANCE,ETRANGER,2
DSMF-Deugou Deugueul ,FRANCE,ETRANGER,2
DSMF-Issy,FRANCE,ETRANGER,2
DSMF-Arrancourt,FRANCE,ETRANGER,2
DSMF-Bokkou raw,FRANCE,ETRANGER,2
DSMF-Dem mba niekh,FRANCE,ETRANGER,2
DSMF Individuel,FRANCE,ETRANGER,2
DSMF-Sant Serigne Bethio,FRANCE,ETRANGER,2
